Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Solder Paste","Used to solder SMD components",1,4.65,"https://www.daraz.com.np/products/baku-bk-6351-bga-ic-solder-flux-paste-dispenser-i128196255-s1035314234.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Appd%252Bsolder%252Bpaste%253Bnid%253A128196255%253Bsrc%253ALazadaMainSrp%253Brn%253Ad4324e6ac085237a124224cef7178078%253Bregion%253Anp%253Bsku%253A128196255_NP%253Bprice%253A700%253Bclient%253Adesktop%253Bsupplier_id%253A900151203083%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A11%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000505%253Bitem_id%253A128196255%253Bsku_id%253A1035314234%253Bshop_id%253A24251%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Bagmati%20Province&price=7E%202&priceCompare=skuId%3A1035314234%3Bsource%3Alazada-search-voucher%3Bsn%3Ad4324e6ac085237a124224cef7178078%3BoriginPrice%3A70000%3BdisplayPrice%3A70000%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1778473246282&ratingscore=&request_id=d4324e6ac085237a124224cef7178078&review=&sale=2&search=1&source=search&spm=a2a0e.searchlist.list.11&stock=1","Daraz Nepal"
"Screw Terminal","Used to connect pyro charges",1,0.37,"https://www.daraz.com.np/products/screw-terminal-block-connector-2pin-5pcs-i127262901-s1034506954.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Ascrew%252Bterminal%253Bnid%253A127262901%253Bsrc%253ALazadaMainSrp%253Brn%253A49d530ea2617e406c12883de3295ae2b%253Bregion%253Anp%253Bsku%253A127262901_NP%253Bprice%253A56%253Bclient%253Adesktop%253Bsupplier_id%253A597%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A0%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000489%253Bitem_id%253A127262901%253Bsku_id%253A1034506954%253Bshop_id%253A8820%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Bagmati%20Province&price=56&priceCompare=skuId%3A1034506954%3Bsource%3Alazada-search-voucher%3Bsn%3A49d530ea2617e406c12883de3295ae2b%3BoriginPrice%3A5600%3BdisplayPrice%3A5600%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1778473179599&ratingscore=4.8125&request_id=49d530ea2617e406c12883de3295ae2b&review=16&sale=89&search=1&source=search&spm=a2a0e.searchlist.list.0&stock=1","Daraz Nepal"
"SMA Antenna Connector","Connector for RF Antenna",1,0.93,"https://www.daraz.com.np/products/sma-female-jack-adapter-solder-edge-pcb-straight-mount-rf-copper-connector-plug-socket-i121043443-s1032975049.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Asma%252Bantenna%252Bconnector%253Bnid%253A121043443%253Bsrc%253ALazadaMainSrp%253Brn%253Ad8bf2248061eccd57a897de15b95d563%253Bregion%253Anp%253Bsku%253A121043443_NP%253Bprice%253A140%253Bclient%253Adesktop%253Bsupplier_id%253A900153636107%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A0%253Butlog_bucket_id%253A470687%253Basc_category_id%253A9811%253Bitem_id%253A121043443%253Bsku_id%253A1032975049%253Bshop_id%253A64405%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Bagmati%20Province&price=1.4E%202&priceCompare=skuId%3A1032975049%3Bsource%3Alazada-search-voucher%3Bsn%3Ad8bf2248061eccd57a897de15b95d563%3BoriginPrice%3A14000%3BdisplayPrice%3A14000%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1778473119796&ratingscore=4.666666666666667&request_id=d8bf2248061eccd57a897de15b95d563&review=3&sale=22&search=1&source=search&spm=a2a0e.searchlist.list.0&stock=1","Daraz Nepal"
"SMD Capacitors","Used in circuit",1,6.22,"https://www.daraz.com.np/products/320pcs-720pcs-2500pcs-0603-0805-1206-smd-capacitor-kit-assorted-kit-163650values-pumudsy-1pf-1uf-i492412636-s2210944926.html","Daraz Nepal"
"SMD Resistors","Used in circuit",1,4.51,"https://www.daraz.com.np/products/0805-smd-resistor-kit-assorted-kit-1ohm-1m-ohm-1-33values-x-20pcs660pcs-sample-kit-0603-1206-1210-0402-10-36-80-values-i492436251-s2210978442.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A0603%252Bresistors%253Bnid%253A492436251%253Bsrc%253ALazadaMainSrp%253Brn%253Afa485d9c043997903f60aefc901a6e82%253Bregion%253Anp%253Bsku%253A492436251_NP%253Bprice%253A680%253Bclient%253Adesktop%253Bsupplier_id%253A900279168309%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A1%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10001575%253Bitem_id%253A492436251%253Bsku_id%253A2210978442%253Bshop_id%253A198893%253BtemplateInfo%253A&configId=choice_NP_promotion&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Overseas&price=6.8E%202&priceCompare=skuId%3A2210978442%3Bsource%3Alazada-search-voucher%3Bsn%3Afa485d9c043997903f60aefc901a6e82%3BoriginPrice%3A68000%3BdisplayPrice%3A68000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1778472893462&ratingscore=3.0&request_id=fa485d9c043997903f60aefc901a6e82&review=1&sale=94&search=1&source=search&spm=a211g0.searchlist.list.1&stock=1&upItemIds=492436251","Daraz Nepal"
"Flight Computer PCB","Used in rockets",1,157.96,"https://cart.jlcpcb.com/shopcart/cart","JLCPCB"
"JLCPCB preodered parts","Used in the circuit",1,17.73,"https://jlcpcb.com/user-center/smtPrivateLibrary/partsCart","JLCPCB"
